row_id	audit_round	label	family_or_status	governing_object_summary	resonance_condition_summary	observable_summary	parameter_packet_summary	demotion_test_summary	source_anchor	provenance_status
TAX04-F2	RF-TAX-04	Faraday waves	F4 Floquet/parametric	Floquet instability of forced free-surface mode	vertical forcing crosses subharmonic threshold	standing-wave onset and pattern selection	drive frequency; acceleration; depth; viscosity; surface tension; wave number	demote if no subharmonic threshold/mode selection	Nature Communications Faraday overview 2021 doi:10.1038/s41467-021-21403-0	FULL_ROW_SOURCE_LOCK
TAX04-F3	RF-TAX-04	Discrete time crystal	F4 boundary	Floquet many-body evolution operator with robust subharmonic orbit	drive plus disorder/interactions stabilizes period-multiplied response	long-lived subharmonic temporal correlations	drive sequence/period; disorder; interaction scale; lifetime/robustness	demote if transient/fine-tuned period doubling	Zhang et al. 2017 Nature 543 217; Choi et al. 2017 Nature 543 221	FULL_ROW_SOURCE_LOCK
TAX04-B1	RF-TAX-04	Stochastic resonance	ADJACENT_NOT_ADMITTED	noise-assisted switching/Kramers-rate matching	noise tunes switching timescale to weak periodic forcing	SNR or spectral-power enhancement	barrier; forcing period/amplitude; noise intensity; switching-rate estimate	keep adjacent unless separate rate-matching family is intentionally added	Benzi et al. 1983 SIAM J Appl Math 43 565 doi:10.1137/0143037	FULL_ROW_SOURCE_LOCK
TAX05-01	RF-TAX-05	Stochastic resonance tribunal	ADJACENT_NOT_ADMITTED	noise-assisted Kramers-rate matching in forced bistable system	mean Kramers switching time near half forcing period	SNR peak; residence-time distribution; switching/forcing synchrony	barrier; forcing amplitude/frequency; noise density; prefactor; damping	demote if monotonic in noise or no bistable/metastable receiver	Benzi et al. 1983 doi:10.1137/0143037	FULL_ROW_SOURCE_LOCK
TAX05-02	RF-TAX-05	Coherence resonance tribunal	ADJACENT_NOT_ADMITTED	noise-induced threshold crossing in excitable system	noise tunes inter-spike interval to recovery timescale	CV minimum; spectrum peak; correlation-time maximum	excitability parameter; threshold; recovery timescale; noise intensity	demote if already oscillatory or coherence monotonic in noise	Pikovsky and Kurths 1997 Phys Rev Lett 78 775 doi:10.1103/PhysRevLett.78.775	FULL_ROW_SOURCE_LOCK
TAX05-03	RF-TAX-05	Vibrational resonance tribunal	ADJACENT_NOT_ADMITTED	high-frequency vibration-modulated effective barrier height	HF amplitude tunes barrier for weak LF switching	response amplitude/SNR at low frequency versus HF amplitude	LF frequency; HF frequency/amplitude; potential parameters; damping	demote if response monotonic or no bistable structure	Landa and McClintock 2000 J Phys A 33 L433 doi:10.1088/0305-4470/33/45/301	FULL_ROW_SOURCE_LOCK
TAX06-01	RF-TAX-06	Measurement-induced phase transition	ADJACENT_NOT_ADMITTED	measurement-conditioned entanglement/trajectory transition	not a frequency-selective resonance condition	entanglement/trajectory order parameter	monitoring rate; circuit/channel model; system size; conditioning rule	demote because no governing resonance object; keep as non-resonant adjacent audit	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX06-02	RF-TAX-06	Monitored quantum response	F2 boundary/open-system	non-Hermitian or Liouvillian spectrum under monitoring	complex spectral structure controls response/decay	decay rates; spectral features; trajectory statistics	measurement rate; Hamiltonian; jump operators; readout conditioning	demote if only measurement backaction without pole/eigenvalue role	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX06-03	RF-TAX-06	NESS resonance-like response	F2 boundary/open-system	open-system generator spectrum around NESS	response governed by complex relaxation eigenvalues	response peak/relaxation mode around steady state	drive; dissipation; generator; observable; steady-state condition	demote if no frequency-selective generator mode	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX06-04	RF-TAX-06	Ruelle-Pollicott resonances	F2 open pole/QNM	complex eigenvalues of transfer/Perron-Frobenius operator	decay of correlations governed by resonances	correlation decay rates and spectral peaks	map/flow; invariant measure; transfer operator; observable	demote if correlation feature lacks stable operator resonance	Ruelle 1986 PRL 56 405; RF-TAX-13 reconciled source manifest	KG_SOURCE_LOCK
TAX06-05	RF-TAX-06	Chaotic phase-space quantum structures	F2 boundary/open-system	semiclassical resonance/phase-space structure in quantum response	phase-space structure controls spectral/transport feature	quantum spectral statistic or tunneling/response signature	classical phase-space structure; hbar scale; spectrum; observable	demote if only visual analogy without reduced operator link	Bohigas Tomsovic Ullmo 1993 Physics Reports 223 43 doi:10.1016/0370-1573(93)90109-Q	KG_SOURCE_LOCK
TAX06-06	RF-TAX-06	Active-matter hydrodynamic density waves	F2 boundary/open-system	linearized active hydrodynamic stability eigenvalues	instability/eigenvalue structure sets wave response	density/polarization wave growth or decay	active speed; alignment; noise; hydrodynamic coefficients	demote if only pattern morphology without eigenvalue mechanism	Toner and Tu 1995 PRL 75 4326 doi:10.1103/PhysRevLett.75.4326	KG_SOURCE_LOCK
TAX06-07	RF-TAX-06	Motility-induced phase separation	ADJACENT_NOT_ADMITTED	active-particle phase separation, not resonance family	density feedback drives phase separation	cluster/phase separation observable	activity; density; interaction; noise; persistence	demote because no frequency-selective resonance object	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX06-08	RF-TAX-06	Active-matter long-range order	F2 boundary/open-system	hydrodynamic mode/stability operator	collective mode structure controls response	correlation/order response	active speed; alignment; noise; hydrodynamic coefficients	demote if no operator-mode role	Toner and Tu 1995 PRL 75 4326 doi:10.1103/PhysRevLett.75.4326	KG_SOURCE_LOCK
TAX06-09	RF-TAX-06	Ghost resonance in heterogeneous neuronal pools	ADJACENT_NOT_ADMITTED	rate/heterogeneous population matching, not deterministic family	missing fundamental inferred by nonlinear population response	perceived/decoded ghost frequency response	neuron thresholds; heterogeneity; drive frequencies; noise	demote if direct spectral peak or no rate-matching mechanism	Balenzuela et al. 2007 Biosystems 89 166 doi:10.1016/j.biosystems.2006.04.014	KG_SOURCE_LOCK
TAX06-10	RF-TAX-06	Chaotic-response resonance	F2 boundary/open-system	complex resonance/eigenvalue structure of chaotic dynamics	response peak/correlation decay controlled by operator spectrum	correlation/response spectrum	system map/flow; perturbation; observable; invariant measure	demote if no stable resonance/eigenvalue identifier	RF-TAX-06 official integration; RF-TAX-13 source manifest	KG_SOURCE_LOCK
TAX06-11	RF-TAX-06	Non-equilibrium relaxation resonance	F2 boundary/open-system	generator or response-function pole in non-equilibrium dynamics	relaxation mode aligns with perturbation frequency	relaxation peak/decay-rate response	generator; perturbation; damping; observable; NESS/relaxation state	demote if relaxation is monotonic with no pole-like mode	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX06-12	RF-TAX-06	RF-TAX-06 aggregate counterexample closure	NO_FIFTH_FAMILY_SURVIVOR	12-case non-equilibrium audit aggregate	all rows resolved to F2 boundary or adjacent-not-admitted	zero fifth-family survivor across RF-TAX-06	row-level KG raw 3f05e07658ad4d2ca806bef6aad42cf7	demote aggregate if any source-backed row supplies non-F1-F4 governing object	RF-TAX-06 official integration 85deac476ffa44b0bf63cbeedcd76056	KG_SOURCE_LOCK
TAX07-01	RF-TAX-07	Linear delayed-memory oscillator	F2 open pole/QNM	transcendental DDE eigenvalue problem	complex roots determine frequency-selective response	resonance peak/decay from DDE spectrum	delay; coefficients; damping; drive; observable	demote if delay is incidental and no complex eigenvalue controls response	Kuang 1993; Hale 1993; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-02	RF-TAX-07	Delay-coupled phase synchronization	F3 nonlinear phase locking	delay-coupled phase dynamics	detuning/coupling/delay enter phase-lock condition	phase locking/synchronization boundary	oscillator frequencies; delay; coupling; damping/noise	demote if no autonomous phase variable or lock boundary	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-03	RF-TAX-07	Pyragas delayed feedback control	F4 Floquet/parametric	periodic-orbit/delayed-feedback control operator	delayed feedback stabilizes/controls periodic response	stability/controlled oscillation response	delay; feedback gain; orbit period; system dynamics	demote if feedback is not load-bearing for periodic response	Pyragas 1992; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-04	RF-TAX-07	Lang-Kobayashi laser feedback	F2 boundary/open-system	delayed laser-feedback eigenvalue structure	feedback delay modifies complex response spectrum	laser intensity/frequency dynamics	feedback strength; delay; linewidth; pump; cavity parameters	demote if only control artifact with no spectral response	Lang-Kobayashi 1980; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-05	RF-TAX-07	Fractional oscillator	F2 boundary/open-system	branch-cut response with dominant complex pole on principal sheet	complex pole near real axis determines resonance peak	response-function peak/linewidth	fractional order; damping; stiffness; drive; branch choice	demote if monotonic fractional relaxation without peak	Mainardi 1996/2010; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-06	RF-TAX-07	Fractional relaxation	ADJACENT_NOT_ADMITTED	Mittag-Leffler/fractional relaxation without resonance peak	no admitted resonance condition	monotonic relaxation curve	fractional order; relaxation scale; observable	demote to non-resonant adjacent because no peak/pole role	Mainardi 2010; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-07	RF-TAX-07	Fractional Schrodinger spectral response	F1 closed spectral	self-adjoint fractional Hamiltonian in fractional Sobolev space	discrete fractional spectral gaps govern response	spectral transition/response	fractional Laplacian; boundary conditions; potential; drive	demote if operator not self-adjoint or no discrete gap	Laskin 2000/2002; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-08	RF-TAX-07	Nonlocal susceptibility	F2 boundary/open-system	wave-vector-parametrized response function epsilon(omega,k)	frequency/wave-vector condition controls response	nonlocal response peak/susceptibility feature	k; frequency; material kernel; damping; observable	demote if spatial dispersion is bookkeeping only	Eringen 1972; Mortensen 2014; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-09	RF-TAX-07	Quantum stochastic resonance	ADJACENT_NOT_ADMITTED	noise/rate-matching cluster in quantum setting	noise tunes transition/escape timescale	response/SNR enhancement	noise; barrier/levels; forcing; damping; observable	demote to F3 only if phase equation with lock boundary appears	RF-TAX-05 plus RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-10	RF-TAX-07	Delayed excitable stochastic resonance	ADJACENT_NOT_ADMITTED	rate matching with delayed excitable receiver	noise/delay tune switching/spiking timescale	SNR/coherence of switching or spikes	receiver; delay; noise; forcing; threshold	demote if no bistable/excitable receiver or nonmonotonic optimum	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-11	RF-TAX-07	Stochastic phase synchronization	F3 with noise	phase-reduced synchronization with stochastic perturbation	detuning/coupling/noise permit phase capture	noisy phase-lock order parameter	frequencies; coupling; noise; damping; phase observable	demote if only rate matching without phase dynamics	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-12	RF-TAX-07	Structured-reservoir non-Markovian pole	F2 open pole/QNM	complex self-energy pole of open quantum response	poles of 1/(omega-omega0-Sigma) set spectrum	emission/response spectrum	reservoir spectral density; coupling; detuning; damping	demote if memory kernel lacks pole-governed response	Nakajima 1958; Zwanzig 1960; Tanimura 2014; Breuer-Petruccione 2002	KG_SOURCE_LOCK
TAX07-13	RF-TAX-07	Non-Markovian exceptional point	F2 boundary	self-energy degeneracy / non-Hermitian EP structure	parameters tune to degeneracy in complex response	eigenvalue coalescence/topological EP signature	self-energy; controls; damping; readout; loop geometry	demote if no EP coalescence/topology	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-14	RF-TAX-07	TCL/HEOM periodically driven open quantum response	F2+F4 hybrid	open-system pole structure plus periodic drive/Floquet object	periodic drive acts through open non-Markovian generator	hybrid spectral/Floquet response	drive period; memory kernel; HEOM/TCL parameters; observable	demote if either pole or Floquet object is absent	Tanimura 2014; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-15	RF-TAX-07	Non-Markovian quantum synchronization	F3 nonlinear phase locking	open quantum phase synchronization dynamics	coupling/detuning/noise-memory support phase locking	phase-lock/synchronization observable	Hamiltonian; bath memory; coupling; detuning; observable	demote if no phase variable or lock boundary	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-16	RF-TAX-07	AOUP colored-noise active response	F2 boundary	response-function complex pole under colored-noise active dynamics	complex response pole controls observed active response	response peak/relaxation feature	persistence time; active noise; damping; observable	demote if no pole/eigenvalue controls response	Doostmohammadi 2018 context; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-17	RF-TAX-07	Active nematic turbulence stability mode	F2 boundary	linear stability eigenvalue of active continuum model	instability eigenvalue controls wave/turbulence onset	growth/decay mode or spectral response	active stress; viscosity; alignment; wave vector; damping	demote if only morphology without stability eigenvalue	Doostmohammadi 2018; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-18	RF-TAX-07	Delayed active system	F2 boundary	transcendental active-system eigenvalue with delay	delay modifies complex stability spectrum	response/growth mode	active coefficients; delay; wave vector; damping; observable	demote if delay is incidental	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-19	RF-TAX-07	Periodically driven active matter	F4 Floquet/parametric	periodically driven active-matter operator	drive period enters Floquet/monodromy response	periodic response/instability feature	drive period/amplitude; active coefficients; damping; observable	demote if periodic forcing is not load-bearing	RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-20	RF-TAX-07	Floquet discrete time crystal	F4 boundary	Floquet operator with eigenstate-order/subharmonic boundary	periodic drive stabilizes rigid subharmonic response	long-lived subharmonic temporal correlations	drive; disorder; interactions; lifetime; robustness	demote if transient/fine-tuned period doubling	Sacha and Zakrzewski 2018 doi:10.1088/1361-6633/aa8b38; Khemani/Else/Yao PRLs	KG_SOURCE_LOCK
TAX07-21	RF-TAX-07	Prethermal discrete time crystal	F4 Floquet/parametric	prethermal Floquet effective Hamiltonian/operator	high-frequency drive stabilizes long-lived subharmonic response	subharmonic response lifetime/prethermal plateau	drive frequency; interactions; disorder; heating time; observable	demote if no prethermal stability window	Yao 2017; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-22	RF-TAX-07	Classical time crystal	F4+F3 hybrid	Floquet/periodic drive plus nonlinear phase dynamics	drive and nonlinear locking produce time-crystalline response	periodic/subharmonic classical response	drive; nonlinear oscillator parameters; damping; coupling	demote if only ordinary driven oscillation	Heugel 2019; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
TAX07-23	RF-TAX-07	Dissipative continuous time crystal	F2 boundary	Liouvillian eigenvalue / zero-width open-system mode	steady dissipative system supports persistent oscillatory eigenmode	oscillatory order/response in open system	Liouvillian; dissipation; coupling; system size; observable	demote if finite transient or no Liouvillian eigenmode	Lledo and Szymanska 2020 doi:10.1088/1367-2630/ab9ae3; Kessler 2021 doi:10.1103/PhysRevLett.127.043602	KG_SOURCE_LOCK
TAX07-24	RF-TAX-07	Wilczek/Watanabe-Oshikawa continuous time-crystal boundary	F2 boundary or RULED_OUT candidate	ground-state/continuous-time oscillation claim audited against no-go and Liouvillian limits	only admissible as open-system zero-width boundary, not closed equilibrium motion	persistent oscillation claim/eigenmode evidence	Hamiltonian/open generator; no-go conditions; observable; lifetime	demote if equilibrium no-go applies or only transient oscillation	Wilczek 2012; Watanabe-Oshikawa 2015; RF-TAX-07 raw 9927017517184e73939ea2259c5458df	KG_SOURCE_LOCK
